title,genres,director,cast,vote_average,metadata
Legal Eagles,Comedy|Crime|Drama|Romance|Thriller,Ivan Reitman,Robert Redford|Debra Winger|Daryl Hannah,5.8,Comedy|Crime|Drama|Romance|Thriller Ivan Reitman Robert Redford|Debra Winger|Daryl Hannah
Secret Window,Thriller|Mystery,David Koepp,Johnny Depp|John Turturro|Timothy Hutton,6.4,Thriller|Mystery David Koepp Johnny Depp|John Turturro|Timothy Hutton
The Lake House,Romance|Drama|Mystery,Alejandro Agresti,Keanu Reeves|Sandra Bullock|Shohreh Aghdashloo,6.5,Romance|Drama|Mystery Alejandro Agresti Keanu Reeves|Sandra Bullock|Shohreh Aghdashloo
The Skeleton Key,Drama|Horror|Mystery|Thriller,Iain Softley,Kate Hudson|Gena Rowlands|Peter Sarsgaard,6.4,Drama|Horror|Mystery|Thriller Iain Softley Kate Hudson|Gena Rowlands|Peter Sarsgaard
The Odd Life of Timothy Green,Fantasy|Drama|Comedy|Family,Peter Hedges,Jennifer Garner|Joel Edgerton|Ron Livingston,6.5,Fantasy|Drama|Comedy|Family Peter Hedges Jennifer Garner|Joel Edgerton|Ron Livingston
Made of Honor,Comedy|Romance,Paul Weiland,Patrick Dempsey|Michelle Monaghan|Kevin McKidd,6.0,Comedy|Romance Paul Weiland Patrick Dempsey|Michelle Monaghan|Kevin McKidd
Jersey Boys,Music|Drama,Clint Eastwood,Christopher Walken|Vincent Piazza|Freya Tingley,6.8,Music|Drama Clint Eastwood Christopher Walken|Vincent Piazza|Freya Tingley
The Rainmaker,Drama|Crime|Thriller,Francis Ford Coppola,Matt Damon|Danny DeVito|Jon Voight,6.7,Drama|Crime|Thriller Francis Ford Coppola Matt Damon|Danny DeVito|Jon Voight
Gothika,Horror|Thriller,Mathieu Kassovitz,Halle Berry|Robert Downey Jr.|Charles S. Dutton,5.8,Horror|Thriller Mathieu Kassovitz Halle Berry|Robert Downey Jr.|Charles S. Dutton
Amistad,Drama|History|Mystery,Steven Spielberg,Morgan Freeman|Nigel Hawthorne|Anthony Hopkins,6.8,Drama|History|Mystery Steven Spielberg Morgan Freeman|Nigel Hawthorne|Anthony Hopkins
Medicine Man,Adventure,John McTiernan,Sean Connery|Lorraine Bracco|José Wilker,5.8,Adventure John McTiernan Sean Connery|Lorraine Bracco|José Wilker
Aliens vs Predator: Requiem,Fantasy|Action|Science Fiction|Thriller|Horror,Colin Strause,Steven Pasquale|Reiko Aylesworth|John Ortiz,4.9,Fantasy|Action|Science Fiction|Thriller|Horror Colin Strause Steven Pasquale|Reiko Aylesworth|John Ortiz
Ri¢hie Ri¢h,Comedy|Family,Donald Petrie,Macaulay Culkin|John Larroquette|Edward Herrmann,5.4,Comedy|Family Donald Petrie Macaulay Culkin|John Larroquette|Edward Herrmann
Autumn in New York,Drama|Romance,Joan Chen,Richard Gere|Winona Ryder|Anthony LaPaglia,5.7,Drama|Romance Joan Chen Richard Gere|Winona Ryder|Anthony LaPaglia
Music and Lyrics,Comedy|Music|Romance,Marc Lawrence,Drew Barrymore|Hugh Grant|Scott Porter,6.2,Comedy|Music|Romance Marc Lawrence Drew Barrymore|Hugh Grant|Scott Porter
Paul,Adventure|Comedy|Science Fiction,Greg Mottola,Seth Rogen|Simon Pegg|Nick Frost,6.5,Adventure|Comedy|Science Fiction Greg Mottola Seth Rogen|Simon Pegg|Nick Frost
The Guilt Trip,Comedy,Anne Fletcher,Seth Rogen|Barbra Streisand|Yvonne Strahovski,5.4,Comedy Anne Fletcher Seth Rogen|Barbra Streisand|Yvonne Strahovski
Scream 4,Horror|Mystery,Wes Craven,David Arquette|Neve Campbell|Courteney Cox,6.1,Horror|Mystery Wes Craven David Arquette|Neve Campbell|Courteney Cox
8MM,Thriller|Crime|Mystery,Joel Schumacher,Nicolas Cage|Joaquin Phoenix|James Gandolfini,6.1,Thriller|Crime|Mystery Joel Schumacher Nicolas Cage|Joaquin Phoenix|James Gandolfini
The Doors,Drama|Music,Oliver Stone,Val Kilmer|Meg Ryan|Kyle MacLachlan,6.7,Drama|Music Oliver Stone Val Kilmer|Meg Ryan|Kyle MacLachlan
Sex Tape,Comedy,Jake Kasdan,Cameron Diaz|Jason Segel|Rob Corddry,5.3,Comedy Jake Kasdan Cameron Diaz|Jason Segel|Rob Corddry
Hanging Up,Comedy|Drama,Diane Keaton,Meg Ryan|Diane Keaton|Lisa Kudrow,5.0,Comedy|Drama Diane Keaton Meg Ryan|Diane Keaton|Lisa Kudrow
Final Destination 5,Horror|Mystery,Steven Quale,Emma Bell|Nicholas D'Agosto|Miles Fisher,5.9,Horror|Mystery Steven Quale Emma Bell|Nicholas D'Agosto|Miles Fisher
Mickey Blue Eyes,Comedy|Crime|Romance,Kelly Makin,Hugh Grant|James Caan|Jeanne Tripplehorn,5.3,Comedy|Crime|Romance Kelly Makin Hugh Grant|James Caan|Jeanne Tripplehorn
Pay It Forward,Drama|Romance,Mimi Leder,Kevin Spacey|Helen Hunt|Haley Joel Osment,7.0,Drama|Romance Mimi Leder Kevin Spacey|Helen Hunt|Haley Joel Osment
Fever Pitch,Comedy|Drama|Romance,Bobby Farrelly,Drew Barrymore|Jimmy Fallon|Jason Spevack,5.9,Comedy|Drama|Romance Bobby Farrelly Drew Barrymore|Jimmy Fallon|Jason Spevack
Drillbit Taylor,Comedy,Steven Brill,Owen Wilson|Leslie Mann|Josh Peck,5.5,Comedy Steven Brill Owen Wilson|Leslie Mann|Josh Peck
A Million Ways to Die in the West,Comedy|Western,Seth MacFarlane,Seth MacFarlane|Charlize Theron|Liam Neeson,5.8,Comedy|Western Seth MacFarlane Seth MacFarlane|Charlize Theron|Liam Neeson
The Shadow,Adventure|Fantasy|Action|Thriller|Science Fiction,Russell Mulcahy,Alec Baldwin|John Lone|Penelope Ann Miller,5.4,Adventure|Fantasy|Action|Thriller|Science Fiction Russell Mulcahy Alec Baldwin|John Lone|Penelope Ann Miller
Extremely Loud & Incredibly Close,Drama,Stephen Daldry,Thomas Horn|Tom Hanks|Sandra Bullock,6.9,Drama Stephen Daldry Thomas Horn|Tom Hanks|Sandra Bullock
Morning Glory,Comedy|Drama|Romance,Roger Michell,Rachel McAdams|Harrison Ford|Patrick Wilson,6.1,Comedy|Drama|Romance Roger Michell Rachel McAdams|Harrison Ford|Patrick Wilson
Get Rich or Die Tryin',Drama,Jim Sheridan,50 Cent|Joy Bryant|Adewale Akinnuoye-Agbaje,6.3,Drama Jim Sheridan 50 Cent|Joy Bryant|Adewale Akinnuoye-Agbaje
The Art of War,Crime|Action|Adventure,Christian Duguay,Wesley Snipes|Donald Sutherland|Maury Chaykin,5.6,Crime|Action|Adventure Christian Duguay Wesley Snipes|Donald Sutherland|Maury Chaykin
Rent,Drama|Romance,Chris Columbus,Anthony Rapp|Adam Pascal|Rosario Dawson,6.7,Drama|Romance Chris Columbus Anthony Rapp|Adam Pascal|Rosario Dawson
Bless the Child,Drama|Horror|Thriller|Crime,Chuck Russell,Kim Basinger|Angela Bettis|Holliston Coleman,4.9,Drama|Horror|Thriller|Crime Chuck Russell Kim Basinger|Angela Bettis|Holliston Coleman
The Out-of-Towners,Comedy,Sam Weisman,Steve Martin|Goldie Hawn|John Cleese,5.0,Comedy Sam Weisman Steve Martin|Goldie Hawn|John Cleese
The Island of Dr. Moreau,Fantasy|Horror|Science Fiction,John Frankenheimer,Marlon Brando|Val Kilmer|David Thewlis,4.6,Fantasy|Horror|Science Fiction John Frankenheimer Marlon Brando|Val Kilmer|David Thewlis
The Musketeer,Action|Adventure|Drama,Peter Hyams,Catherine Deneuve|Mena Suvari|Stephen Rea,5.2,Action|Adventure|Drama Peter Hyams Catherine Deneuve|Mena Suvari|Stephen Rea
The Other Boleyn Girl,Drama,Justin Chadwick,Natalie Portman|Scarlett Johansson|Eric Bana,6.4,Drama Justin Chadwick Natalie Portman|Scarlett Johansson|Eric Bana
Sweet November,Drama|Romance,Pat O'Connor,Keanu Reeves|Charlize Theron|Jason Isaacs,6.4,Drama|Romance Pat O'Connor Keanu Reeves|Charlize Theron|Jason Isaacs
The Reaping,Horror,Stephen Hopkins,Hilary Swank|David Morrissey|Idris Elba,5.4,Horror Stephen Hopkins Hilary Swank|David Morrissey|Idris Elba
Mean Streets,Drama|Crime,Martin Scorsese,Harvey Keitel|Robert De Niro|David Proval,7.2,Drama|Crime Martin Scorsese Harvey Keitel|Robert De Niro|David Proval
Renaissance Man,Comedy|War,Penny Marshall,Danny DeVito|Mark Wahlberg|Gregory Hines,5.9,Comedy|War Penny Marshall Danny DeVito|Mark Wahlberg|Gregory Hines
Colombiana,Action|Thriller|Crime|Drama,Olivier Megaton,Zoe Saldana|Cliff Curtis|Callum Blue,6.5,Action|Thriller|Crime|Drama Olivier Megaton Zoe Saldana|Cliff Curtis|Callum Blue
Quest for Camelot,Fantasy|Animation|Drama|Romance|Family,Frederik Du Chau,Jessalyn Gilsig|Cary Elwes|Gary Oldman,6.9,Fantasy|Animation|Drama|Romance|Family Frederik Du Chau Jessalyn Gilsig|Cary Elwes|Gary Oldman
City By The Sea,Crime|Drama|Mystery,Michael Caton-Jones,Robert De Niro|James Franco|Frances McDormand,5.7,Crime|Drama|Mystery Michael Caton-Jones Robert De Niro|James Franco|Frances McDormand
At First Sight,Drama|Romance,Irwin Winkler,Val Kilmer|Mira Sorvino|Kelly McGillis,5.9,Drama|Romance Irwin Winkler Val Kilmer|Mira Sorvino|Kelly McGillis
Torque,Action,Joseph Kahn,Martin Henderson|Ice Cube|Monet Mazur,4.7,Action Joseph Kahn Martin Henderson|Ice Cube|Monet Mazur
City Hall,Drama|Thriller,Harold Becker,Al Pacino|John Cusack|Bridget Fonda,6.0,Drama|Thriller Harold Becker Al Pacino|John Cusack|Bridget Fonda
Showgirls,Drama,Paul Verhoeven,Elizabeth Berkley|Kyle MacLachlan|Gina Gershon,4.9,Drama Paul Verhoeven Elizabeth Berkley|Kyle MacLachlan|Gina Gershon
Marie Antoinette,Drama|History,Sofia Coppola,Kirsten Dunst|Jason Schwartzman|Judy Davis,6.5,Drama|History Sofia Coppola Kirsten Dunst|Jason Schwartzman|Judy Davis
Kiss of Death,Action|Crime|Drama|Thriller,Barbet Schroeder,David Caruso|Samuel L. Jackson|Nicolas Cage,5.7,Action|Crime|Drama|Thriller Barbet Schroeder David Caruso|Samuel L. Jackson|Nicolas Cage
Get Carter,Action|Drama|Thriller|Crime,Stephen T. Kay,Sylvester Stallone|Miranda Richardson|Rachael Leigh Cook,4.8,Action|Drama|Thriller|Crime Stephen T. Kay Sylvester Stallone|Miranda Richardson|Rachael Leigh Cook
The Impossible,Thriller|Drama,Juan Antonio Bayona,Naomi Watts|Ewan McGregor|Tom Holland,7.0,Thriller|Drama Juan Antonio Bayona Naomi Watts|Ewan McGregor|Tom Holland
Ishtar,Action|Adventure|Comedy,Elaine May,Warren Beatty|Dustin Hoffman|Isabelle Adjani,4.2,Action|Adventure|Comedy Elaine May Warren Beatty|Dustin Hoffman|Isabelle Adjani
Fantastic Mr. Fox,Adventure|Animation|Comedy|Family,Wes Anderson,George Clooney|Meryl Streep|Jason Schwartzman,7.5,Adventure|Animation|Comedy|Family Wes Anderson George Clooney|Meryl Streep|Jason Schwartzman
Life or Something Like It,Comedy|Drama|Romance,Stephen Herek,Angelina Jolie|Edward Burns|Tony Shalhoub,5.7,Comedy|Drama|Romance Stephen Herek Angelina Jolie|Edward Burns|Tony Shalhoub
Memoirs of an Invisible Man,Comedy|Fantasy|Science Fiction,John Carpenter,Chevy Chase|Daryl Hannah|Sam Neill,5.7,Comedy|Fantasy|Science Fiction John Carpenter Chevy Chase|Daryl Hannah|Sam Neill
Amélie,Comedy|Romance,Jean-Pierre Jeunet,Audrey Tautou|Mathieu Kassovitz|Rufus,7.8,Comedy|Romance Jean-Pierre Jeunet Audrey Tautou|Mathieu Kassovitz|Rufus
New York Minute,Comedy,Dennie Gordon,Ashley Olsen|Mary-Kate Olsen|Eugene Levy,5.5,Comedy Dennie Gordon Ashley Olsen|Mary-Kate Olsen|Eugene Levy
Alfie,Comedy,Charles Shyer,Jude Law|Marisa Tomei|Omar Epps,5.6,Comedy Charles Shyer Jude Law|Marisa Tomei|Omar Epps
Big Miracle,Adventure|Drama|Romance,Ken Kwapis,Drew Barrymore|John Krasinski|Kristen Bell,6.6,Adventure|Drama|Romance Ken Kwapis Drew Barrymore|John Krasinski|Kristen Bell
The Deep End of the Ocean,Drama|Mystery,Ulu Grosbard,Michelle Pfeiffer|Treat Williams|Whoopi Goldberg,5.9,Drama|Mystery Ulu Grosbard Michelle Pfeiffer|Treat Williams|Whoopi Goldberg
FearDotCom,Horror|Thriller,William Malone,Stephen Dorff|Natascha McElhone|Stephen Rea,3.2,Horror|Thriller William Malone Stephen Dorff|Natascha McElhone|Stephen Rea
Cirque du Freak: The Vampire's Assistant,Adventure|Fantasy|Action|Thriller,Paul Weitz,John C. Reilly|Josh Hutcherson|Chris Massoglia,5.5,Adventure|Fantasy|Action|Thriller Paul Weitz John C. Reilly|Josh Hutcherson|Chris Massoglia
Duplex,Action|Comedy|Thriller,Danny DeVito,Ben Stiller|Drew Barrymore|Eileen Essell,5.9,Action|Comedy|Thriller Danny DeVito Ben Stiller|Drew Barrymore|Eileen Essell
Soul Men,Comedy|Music,Malcolm D. Lee,Samuel L. Jackson|Bernie Mac|Sharon Leal,6.3,Comedy|Music Malcolm D. Lee Samuel L. Jackson|Bernie Mac|Sharon Leal
Raise the Titanic,Action|Drama|Thriller,Jerry Jameson,M. Emmet Walsh|Richard Jordan|David Selby,5.2,Action|Drama|Thriller Jerry Jameson M. Emmet Walsh|Richard Jordan|David Selby
Universal Soldier: The Return,Action|Science Fiction,Mic Rodgers,Jean-Claude Van Damme|Kiana Tom|Bill Goldberg,4.2,Action|Science Fiction Mic Rodgers Jean-Claude Van Damme|Kiana Tom|Bill Goldberg
Pandorum,Action|Horror|Mystery|Science Fiction|Thriller,Christian Alvart,Ben Foster|Dennis Quaid|Cam Gigandet,6.5,Action|Horror|Mystery|Science Fiction|Thriller Christian Alvart Ben Foster|Dennis Quaid|Cam Gigandet
Impostor,Action|Science Fiction|Thriller,Gary Fleder,Gary Sinise|Madeleine Stowe|Mekhi Phifer,6.1,Action|Science Fiction|Thriller Gary Fleder Gary Sinise|Madeleine Stowe|Mekhi Phifer
Extreme Ops,Action|Adventure|Drama|Thriller,Christian Duguay,Devon Sawa|Bridgette Wilson|Rufus Sewell,5.0,Action|Adventure|Drama|Thriller Christian Duguay Devon Sawa|Bridgette Wilson|Rufus Sewell
Just Visiting,Comedy|Fantasy|Science Fiction,Jean-Marie Poiré,Jean Reno|Christina Applegate|Christian Clavier,4.8,Comedy|Fantasy|Science Fiction Jean-Marie Poiré Jean Reno|Christina Applegate|Christian Clavier
Sunshine,Science Fiction|Thriller,Danny Boyle,Cillian Murphy|Rose Byrne|Chris Evans,7.0,Science Fiction|Thriller Danny Boyle Cillian Murphy|Rose Byrne|Chris Evans
A Thousand Words,Drama|Comedy,Brian Robbins,Eddie Murphy|Allison Janney|Cliff Curtis,6.0,Drama|Comedy Brian Robbins Eddie Murphy|Allison Janney|Cliff Curtis
Delgo,Adventure|Fantasy|Animation|Comedy|Science Fiction|Family,Marc F. Adler,Freddie Prinze Jr.|Jennifer Love Hewitt|Val Kilmer,5.4,Adventure|Fantasy|Animation|Comedy|Science Fiction|Family Marc F. Adler Freddie Prinze Jr.|Jennifer Love Hewitt|Val Kilmer
The Gunman,Action|Drama|Crime,Pierre Morel,Sean Penn|Jasmine Trinca|Javier Bardem,5.5,Action|Drama|Crime Pierre Morel Sean Penn|Jasmine Trinca|Javier Bardem
Stormbreaker,Adventure|Action|Family,Geoffrey Sax,Alex Pettyfer|Sarah Bolger|Ewan McGregor,5.1,Adventure|Action|Family Geoffrey Sax Alex Pettyfer|Sarah Bolger|Ewan McGregor
Disturbia,Thriller|Drama|Mystery,D.J. Caruso,Shia LaBeouf|Sarah Roemer|Carrie-Anne Moss,6.6,Thriller|Drama|Mystery D.J. Caruso Shia LaBeouf|Sarah Roemer|Carrie-Anne Moss
Hackers,Action|Crime|Thriller|Drama,Iain Softley,Jonny Lee Miller|Angelina Jolie|Jesse Bradford,6.2,Action|Crime|Thriller|Drama Iain Softley Jonny Lee Miller|Angelina Jolie|Jesse Bradford
The Hunting Party,Action|Adventure|Thriller|Drama,Richard Shepard,Richard Gere|Terrence Howard|James Brolin,6.6,Action|Adventure|Thriller|Drama Richard Shepard Richard Gere|Terrence Howard|James Brolin
The Hudsucker Proxy,Comedy|Drama,Joel Coen,Tim Robbins|Jennifer Jason Leigh|Paul Newman,7.1,Comedy|Drama Joel Coen Tim Robbins|Jennifer Jason Leigh|Paul Newman
The Warlords,Action|Drama|History,Peter Chan,Jet Li|Andy Lau|Takeshi Kaneshiro,6.3,Action|Drama|History Peter Chan Jet Li|Andy Lau|Takeshi Kaneshiro
Nomad: The Warrior,Action|History|War,Sergei Bodrov Jr.,Kuno Becker|Jay Hernandez|Jason Scott Lee,4.3,Action|History|War Sergei Bodrov Jr. Kuno Becker|Jay Hernandez|Jason Scott Lee
Snowpiercer,Action|Science Fiction|Drama,Bong Joon-ho,Chris Evans|Song Kang-ho|Ed Harris,6.7,Action|Science Fiction|Drama Bong Joon-ho Chris Evans|Song Kang-ho|Ed Harris
A Monster in Paris,Adventure|Animation|Comedy|Family|Fantasy,Bibo Bergeron,Vanessa Paradis|Mathieu Chedid|Gad Elmaleh,6.5,Adventure|Animation|Comedy|Family|Fantasy Bibo Bergeron Vanessa Paradis|Mathieu Chedid|Gad Elmaleh
The Last Shot,Action|Comedy,Jeff Nathanson,Matthew Broderick|Alec Baldwin|Toni Collette,5.9,Action|Comedy Jeff Nathanson Matthew Broderick|Alec Baldwin|Toni Collette
The Crow,Fantasy|Action|Thriller,Alex Proyas,Brandon Lee|Rochelle Davis|Ernie Hudson,7.3,Fantasy|Action|Thriller Alex Proyas Brandon Lee|Rochelle Davis|Ernie Hudson
Baahubali: The Beginning,Action|Adventure|War|History,S.S. Rajamouli,Prabhas|Rana Daggubati|Tamanna Bhatia,7.5,Action|Adventure|War|History S.S. Rajamouli Prabhas|Rana Daggubati|Tamanna Bhatia
The Time Traveler's Wife,Drama|Romance|Fantasy,Robert Schwentke,Eric Bana|Rachel McAdams|Michelle Nolden,6.7,Drama|Romance|Fantasy Robert Schwentke Eric Bana|Rachel McAdams|Michelle Nolden
Because I Said So,Comedy,Michael Lehmann,Diane Keaton|Mandy Moore|Gabriel Macht,5.8,Comedy Michael Lehmann Diane Keaton|Mandy Moore|Gabriel Macht
Frankenweenie,Animation|Comedy|Family,Tim Burton,Charlie Tahan|Catherine O'Hara|Martin Short,6.6,Animation|Comedy|Family Tim Burton Charlie Tahan|Catherine O'Hara|Martin Short
Serenity,Science Fiction|Action|Adventure|Thriller,Joss Whedon,Nathan Fillion|Gina Torres|Alan Tudyk,7.4,Science Fiction|Action|Adventure|Thriller Joss Whedon Nathan Fillion|Gina Torres|Alan Tudyk
Against the Ropes,Romance|Drama,Charles S. Dutton,Meg Ryan|Tony Shalhoub|Joe Cortese,4.5,Romance|Drama Charles S. Dutton Meg Ryan|Tony Shalhoub|Joe Cortese
Superman III,Comedy|Action|Adventure|Fantasy|Science Fiction,Richard Lester,Christopher Reeve|Richard Pryor|Jackie Cooper,5.3,Comedy|Action|Adventure|Fantasy|Science Fiction Richard Lester Christopher Reeve|Richard Pryor|Jackie Cooper
Grudge Match,Comedy,Peter Segal,Robert De Niro|Sylvester Stallone|Alan Arkin,6.0,Comedy Peter Segal Robert De Niro|Sylvester Stallone|Alan Arkin
Red Cliff,Adventure|Drama|Action,John Woo,Chang Chen|Hu Jun|Tony Leung Chiu-Wai,7.1,Adventure|Drama|Action John Woo Chang Chen|Hu Jun|Tony Leung Chiu-Wai
Sweet Home Alabama,Comedy|Romance,Andy Tennant,Reese Witherspoon|Josh Lucas|Patrick Dempsey,6.0,Comedy|Romance Andy Tennant Reese Witherspoon|Josh Lucas|Patrick Dempsey
The Ugly Truth,Comedy|Romance,Robert Luketic,Katherine Heigl|Gerard Butler|Eric Winter,6.4,Comedy|Romance Robert Luketic Katherine Heigl|Gerard Butler|Eric Winter
Sgt. Bilko,Comedy|Family,Jonathan Lynn,Steve Martin|Dan Aykroyd|Phil Hartman,5.5,Comedy|Family Jonathan Lynn Steve Martin|Dan Aykroyd|Phil Hartman
Spy Kids 2: The Island of Lost Dreams,Action|Adventure|Family,Robert Rodriguez,Antonio Banderas|Carla Gugino|Alexa PenaVega,5.3,Action|Adventure|Family Robert Rodriguez Antonio Banderas|Carla Gugino|Alexa PenaVega
Star Trek: Generations,Science Fiction|Action|Adventure|Thriller,David Carson,Patrick Stewart|Jonathan Frakes|Brent Spiner,6.4,Science Fiction|Action|Adventure|Thriller David Carson Patrick Stewart|Jonathan Frakes|Brent Spiner
The Grandmaster,Action|Drama|History,Wong Kar-wai,Tony Leung Chiu-Wai|Zhang Ziyi|Song Hye-kyo,6.3,Action|Drama|History Wong Kar-wai Tony Leung Chiu-Wai|Zhang Ziyi|Song Hye-kyo
Water for Elephants,Drama|Romance,Francis Lawrence,Robert Pattinson|Reese Witherspoon|Christoph Waltz,6.7,Drama|Romance Francis Lawrence Robert Pattinson|Reese Witherspoon|Christoph Waltz
Dragon Nest: Warriors' Dawn,Adventure|Family|Fantasy|Animation,Yuefeng Song,Carrie-Anne Moss|Lucas Grabeel|Blythe Auffarth,6.8,Adventure|Family|Fantasy|Animation Yuefeng Song Carrie-Anne Moss|Lucas Grabeel|Blythe Auffarth
The Hurricane,Drama,Norman Jewison,Denzel Washington|Vicellous Reon Shannon|Deborah Kara Unger,7.2,Drama Norman Jewison Denzel Washington|Vicellous Reon Shannon|Deborah Kara Unger
Enough,Drama|Thriller,Michael Apted,Jennifer Lopez|Billy Campbell|Juliette Lewis,6.2,Drama|Thriller Michael Apted Jennifer Lopez|Billy Campbell|Juliette Lewis
Heartbreakers,Crime|Comedy|Romance,David Mirkin,Sigourney Weaver|Jennifer Love Hewitt|Gene Hackman,5.7,Crime|Comedy|Romance David Mirkin Sigourney Weaver|Jennifer Love Hewitt|Gene Hackman
Paul Blart: Mall Cop 2,Action|Comedy|Family,Andy Fickman,Kevin James|Raini Rodriguez|Eduardo Verástegui,5.0,Action|Comedy|Family Andy Fickman Kevin James|Raini Rodriguez|Eduardo Verástegui
Angel Eyes,Drama|Romance|Thriller,Luis Mandoki,Jennifer Lopez|Jim Caviezel|Jeremy Sisto,5.6,Drama|Romance|Thriller Luis Mandoki Jennifer Lopez|Jim Caviezel|Jeremy Sisto
Joe Somebody,Comedy,John Pasquin,Tim Allen|Julie Bowen|Kelly Lynch,5.5,Comedy John Pasquin Tim Allen|Julie Bowen|Kelly Lynch
The Ninth Gate,Horror|Mystery|Thriller,Roman Polanski,Johnny Depp|Frank Langella|Lena Olin,6.3,Horror|Mystery|Thriller Roman Polanski Johnny Depp|Frank Langella|Lena Olin
Extreme Measures,Drama|Thriller,Michael Apted,Hugh Grant|Gene Hackman|Sarah Jessica Parker,5.7,Drama|Thriller Michael Apted Hugh Grant|Gene Hackman|Sarah Jessica Parker
Rock Star,Music|Drama|Comedy,Stephen Herek,Mark Wahlberg|Jennifer Aniston|Jason Flemyng,6.0,Music|Drama|Comedy Stephen Herek Mark Wahlberg|Jennifer Aniston|Jason Flemyng
Precious,Drama,Lee Daniels,Gabourey Sidibe|Mo'Nique|Paula Patton,6.9,Drama Lee Daniels Gabourey Sidibe|Mo'Nique|Paula Patton
White Squall,Action|Drama,Ridley Scott,Jeff Bridges|Caroline Goodall|John Savage,6.3,Action|Drama Ridley Scott Jeff Bridges|Caroline Goodall|John Savage
The Thing,Horror|Mystery|Science Fiction,John Carpenter,Kurt Russell|Keith David|Wilford Brimley,7.8,Horror|Mystery|Science Fiction John Carpenter Kurt Russell|Keith David|Wilford Brimley
Riddick,Science Fiction|Action|Thriller,David Twohy,Vin Diesel|Karl Urban|Katee Sackhoff,6.2,Science Fiction|Action|Thriller David Twohy Vin Diesel|Karl Urban|Katee Sackhoff
Switchback,Action|Adventure|Mystery|Thriller,Jeb Stuart,Dennis Quaid|Danny Glover|R. Lee Ermey,5.8,Action|Adventure|Mystery|Thriller Jeb Stuart Dennis Quaid|Danny Glover|R. Lee Ermey
Texas Rangers,Action|Western,Steve Miner,James Van Der Beek|Rachael Leigh Cook|Ashton Kutcher,5.4,Action|Western Steve Miner James Van Der Beek|Rachael Leigh Cook|Ashton Kutcher
City of Ember,Adventure|Family|Fantasy,Gil Kenan,Saoirse Ronan|Harry Treadaway|Mary Kay Place,6.2,Adventure|Family|Fantasy Gil Kenan Saoirse Ronan|Harry Treadaway|Mary Kay Place
The Master,Drama,Paul Thomas Anderson,Joaquin Phoenix|Philip Seymour Hoffman|Amy Adams,7.0,Drama Paul Thomas Anderson Joaquin Phoenix|Philip Seymour Hoffman|Amy Adams
